,Location,Total Cases,Total Deaths,Total Recovered
17673,Papua Barat,19747,298,17003
17674,Riau,106649,2895,88628
17675,Sulawesi Barat,9295,189,7351
17676,Sulawesi Selatan,90616,1502,76065
17677,Sulawesi Tengah,28696,808,18637
17678,Sulawesi Tenggara,17739,403,13923
17679,Sulawesi Utara,27144,769,20340
17680,Sumatera Barat,77285,1636,60902
17681,Sumatera Selatan,51472,2353,38542
17682,Sumatera Utara,70447,1639,44972
17683,Aceh,25218,1064,18235
17684,Bali,86199,2441,70464
17685,Banten,120682,2323,100821
17686,Bengkulu,20158,303,15972
17687,DKI Jakarta,831501,12798,808028
17688,Daerah Istimewa Yogyakarta,129681,3900,89728
17689,Gorontalo,9287,276,7259
17691,Jambi,22855,506,17321
17692,Jawa Barat,635457,10499,544415
17693,Jawa Tengah,415115,22568,347011
17694,Jawa Timur,337263,23293,270299
17695,Kalimantan Barat,29178,716,23255
17696,Kalimantan Selatan,54116,1578,41374
17697,Kalimantan Tengah,37170,1023,30992
17698,Kalimantan Timur,131210,3973,105809
17699,Kalimantan Utara,25204,446,17933
17700,Kepulauan Bangka Belitung,38621,860,30936
17701,Kepulauan Riau,48187,1334,42263
17702,Lampung,39445,2609,29742
17703,Maluku,13660,234,10509
17704,Maluku Utara,10794,251,8684
17705,Nusa Tenggara Barat,21509,593,19209
17706,Nusa Tenggara Timur,48021,889,35408
17707,Papua,28798,427,13563
17708,Papua Barat,19815,298,17211
17709,Riau,107803,2921,90646
17710,Sulawesi Barat,9350,194,7433
17711,Sulawesi Selatan,91351,1530,76791
17712,Sulawesi Tengah,29539,840,18921
17713,Sulawesi Tenggara,17841,409,14002
17714,Sulawesi Utara,27654,786,20732
17715,Sumatera Barat,78063,1661,61565
17716,Sumatera Selatan,51866,2384,39121
17717,Sumatera Utara,71853,1674,45477
17718,Aceh,25370,1084,18372
17719,Bali,87217,2481,71587
17720,Banten,121019,2354,103308
